UF;Municipio;DepAdm;EnsinoFund1_4;EnsinoFund5_8
Brasil;Total;Total;13.521.834;11.898.908
Brasil;Total;Estadual;3.103.985;6.292.068
Brasil;Total;Federal;4.847;14.938
Brasil;Total;Municipal;8.684.296;4.075.338
Brasil;Total;Privada;1.728.706;1.516.564
Acre;Total;Total;93.668;53.720
Acre;Total;Estadual;51.817;39.421
Acre;Total;Federal;120;207
Acre;Total;Municipal;38.316;10.754
Acre;Total;Privada;3.415;3.338
Acre;ACRELANDIA;Total;1.921;1.163
Acre;ACRELANDIA;Estadual;497;849
Acre;ACRELANDIA;Municipal;1.424;314
Acre;ASSIS BRASIL;Total;953;362
Acre;ASSIS BRASIL;Estadual;254;241
Acre;ASSIS BRASIL;Municipal;699;121
Acre;BRASILEIA;Total;2.831;1.720
Acre;BRASILEIA;Estadual;910;1.328
Acre;BRASILEIA;Municipal;1.921;392
Acre;BUJARI;Total;1.257;688
Acre;BUJARI;Estadual;419;604
Acre;BUJARI;Municipal;838;84
Acre;CAPIXABA;Total;1.486;569
Acre;CAPIXABA;Estadual;292;467
Acre;CAPIXABA;Municipal;1.194;102
Acre;CRUZEIRO DO SUL;Total;6.572;5.546
Acre;CRUZEIRO DO SUL;Estadual;6.319;5.360
Acre;CRUZEIRO DO SUL;Municipal;0;0
Acre;CRUZEIRO DO SUL;Privada;253;186
Acre;EPITACIOLANDIA;Total;1.795;1.085
Acre;EPITACIOLANDIA;Estadual;602;911
Acre;EPITACIOLANDIA;Municipal;1.193;174
Acre;FEIJO;Total;4.722;1.418
Acre;FEIJO;Estadual;1.976;1.231
Acre;FEIJO;Municipal;2.746;187
Acre;JORDAO;Total;1.928;429
Acre;JORDAO;Estadual;270;52
Acre;JORDAO;Municipal;1.658;377
Acre;MANCIO LIMA;Total;2.221;1.256
Acre;MANCIO LIMA;Estadual;1.282;722
Acre;MANCIO LIMA;Municipal;939;534
Acre;MANOEL URBANO;Total;1.623;455
Acre;MANOEL URBANO;Estadual;577;303
Acre;MANOEL URBANO;Municipal;1.046;152
Acre;MARECHAL THAUMATURGO;Total;3.250;1.007
Acre;MARECHAL THAUMATURGO;Estadual;122;0
Acre;MARECHAL THAUMATURGO;Municipal;3.128;1.007
Acre;PLACIDO DE CASTRO;Total;2.637;1.546
Acre;PLACIDO DE CASTRO;Estadual;1.355;1.333
Acre;PLACIDO DE CASTRO;Municipal;1.282;213
Acre;PORTO ACRE;Total;2.442;1.174
Acre;PORTO ACRE;Estadual;1.326;1.021
Acre;PORTO ACRE;Municipal;1.116;153
Acre;PORTO WALTER;Total;1.681;741
Acre;PORTO WALTER;Estadual;301;118
Acre;PORTO WALTER;Municipal;1.380;623
Acre;RIO BRANCO;Total;34.132;25.288
Acre;RIO BRANCO;Estadual;24.737;18.829
Acre;RIO BRANCO;Federal;120;207
Acre;RIO BRANCO;Municipal;6.211;3.155
Acre;RIO BRANCO;Privada;3.064;3.097
Acre;RODRIGUES ALVES;Total;2.463;1.212
Acre;RODRIGUES ALVES;Estadual;669;475
Acre;RODRIGUES ALVES;Municipal;1.794;737
Acre;SANTA ROSA DO PURUS;Total;908;167
Acre;SANTA ROSA DO PURUS;Estadual;194;0
Acre;SANTA ROSA DO PURUS;Municipal;714;167
Acre;SENA MADUREIRA;Total;6.408;2.692
Acre;SENA MADUREIRA;Estadual;3.627;1.678
Acre;SENA MADUREIRA;Municipal;2.781;1.014
Acre;SENADOR GUIOMARD;Total;2.942;1.707
Acre;SENADOR GUIOMARD;Estadual;1.577;1.126
Acre;SENADOR GUIOMARD;Municipal;1.267;526
Acre;SENADOR GUIOMARD;Privada;98;55
Acre;TARAUACA;Total;7.158;2.522
Acre;TARAUACA;Estadual;2.894;2.055
Acre;TARAUACA;Municipal;4.264;467
Acre;XAPURI;Total;2.338;973
Acre;XAPURI;Estadual;1.617;718
Acre;XAPURI;Municipal;721;255
Acre;XAPURI;Privada;0;0
Alagoas;Total;Total;397.740;306.574
Alagoas;Total;Estadual;55.459;107.666
Alagoas;Total;Federal;0;0
Alagoas;Total;Municipal;319.671;178.586
Alagoas;Total;Privada;22.610;20.322
Alagoas;AGUA BRANCA;Total;3.503;1.966
Alagoas;AGUA BRANCA;Estadual;568;1.080
Alagoas;AGUA BRANCA;Municipal;2.935;886
Alagoas;AGUA BRANCA;Privada;0;0
Alagoas;ANADIA;Total;2.275;1.763
Alagoas;ANADIA;Estadual;101;242
Alagoas;ANADIA;Municipal;2.131;1.521
Alagoas;ANADIA;Privada;43;0
Alagoas;ARAPIRACA;Total;22.269;22.239
Alagoas;ARAPIRACA;Estadual;1.608;7.754
Alagoas;ARAPIRACA;Municipal;18.490;12.169
Alagoas;ARAPIRACA;Privada;2.171;2.316
Alagoas;ATALAIA;Total;6.722;4.016
Alagoas;ATALAIA;Estadual;331;594
Alagoas;ATALAIA;Municipal;6.304;3.422
Alagoas;ATALAIA;Privada;87;0
Alagoas;BARRA DE SANTO ANTONIO;Total;2.536;1.322
Alagoas;BARRA DE SANTO ANTONIO;Estadual;351;0
Alagoas;BARRA DE SANTO ANTONIO;Municipal;2.130;1.322
Alagoas;BARRA DE SANTO ANTONIO;Privada;55;0
Alagoas;BARRA DE SAO MIGUEL;Total;1.098;771
Alagoas;BARRA DE SAO MIGUEL;Estadual;0;126
Alagoas;BARRA DE SAO MIGUEL;Municipal;1.025;645
Alagoas;BARRA DE SAO MIGUEL;Privada;73;0
Alagoas;BATALHA;Total;2.346;1.705
Alagoas;BATALHA;Estadual;0;1.483
Alagoas;BATALHA;Municipal;2.176;130
Alagoas;BATALHA;Privada;170;92
Alagoas;BELEM;Total;1.094;732
Alagoas;BELEM;Estadual;202;135
Alagoas;BELEM;Municipal;892;597
Alagoas;BELO MONTE;Total;1.358;862
Alagoas;BELO MONTE;Estadual;69;0
Alagoas;BELO MONTE;Municipal;1.289;862
Alagoas;BOCA DA MATA;Total;3.454;4.053
Alagoas;BOCA DA MATA;Estadual;93;417
Alagoas;BOCA DA MATA;Municipal;3.156;3.419
Alagoas;BOCA DA MATA;Privada;205;217
Alagoas;BRANQUINHA;Total;2.324;929
Alagoas;BRANQUINHA;Estadual;191;265
Alagoas;BRANQUINHA;Municipal;2.133;664
Alagoas;CACIMBINHAS;Total;1.862;927
Alagoas;CACIMBINHAS;Estadual;156;124
Alagoas;CACIMBINHAS;Municipal;1.681;803
Alagoas;CACIMBINHAS;Privada;25;0
Alagoas;CAJUEIRO;Total;2.825;2.268
Alagoas;CAJUEIRO;Estadual;0;282
Alagoas;CAJUEIRO;Municipal;2.769;1.969
Alagoas;CAJUEIRO;Privada;56;17
Alagoas;CAMPESTRE;Total;997;562
Alagoas;CAMPESTRE;Estadual;0;159
Alagoas;CAMPESTRE;Municipal;997;403
Alagoas;CAMPO ALEGRE;Total;4.943;3.870
Alagoas;CAMPO ALEGRE;Estadual;715;219
Alagoas;CAMPO ALEGRE;Municipal;4.072;3.651
Alagoas;CAMPO ALEGRE;Privada;156;0
Alagoas;CAMPO GRANDE;Total;2.186;1.374
Alagoas;CAMPO GRANDE;Municipal;2.186;1.374
Alagoas;CANAPI;Total;3.760;1.863
Alagoas;CANAPI;Estadual;432;108
Alagoas;CANAPI;Municipal;3.328;1.755
Alagoas;CAPELA;Total;2.440;1.776
Alagoas;CAPELA;Estadual;254;249
Alagoas;CAPELA;Municipal;2.186;1.527
Alagoas;CARNEIROS;Total;1.961;1.035
Alagoas;CARNEIROS;Estadual;142;0
Alagoas;CARNEIROS;Municipal;1.819;1.035
Alagoas;CHA PRETA;Total;1.356;621
Alagoas;CHA PRETA;Estadual;146;142
Alagoas;CHA PRETA;Municipal;1.210;479
Alagoas;COITE DO NOIA;Total;1.792;1.113
Alagoas;COITE DO NOIA;Estadual;0;122
Alagoas;COITE DO NOIA;Municipal;1.792;991
Alagoas;COLONIA LEOPOLDINA;Total;3.138;1.908
Alagoas;COLONIA LEOPOLDINA;Estadual;0;237
Alagoas;COLONIA LEOPOLDINA;Municipal;3.068;1.671
Alagoas;COLONIA LEOPOLDINA;Privada;70;0
Alagoas;COQUEIRO SECO;Total;781;551
Alagoas;COQUEIRO SECO;Estadual;162;0
Alagoas;COQUEIRO SECO;Municipal;619;551
Alagoas;CORURIPE;Total;6.729;6.893
Alagoas;CORURIPE;Estadual;0;268
Alagoas;CORURIPE;Municipal;6.537;6.499
Alagoas;CORURIPE;Privada;192;126
Alagoas;CRAIBAS;Total;3.171;2.749
Alagoas;CRAIBAS;Estadual;24;77
Alagoas;CRAIBAS;Municipal;3.008;2.672
Alagoas;CRAIBAS;Privada;139;0
Alagoas;DELMIRO GOUVEIA;Total;1.482;1.011
Alagoas;DELMIRO GOUVEIA;Estadual;1.060;755
Alagoas;DELMIRO GOUVEIA;Municipal;0;0
Alagoas;DELMIRO GOUVEIA;Privada;422;256
Alagoas;DOIS RIACHOS;Total;2.488;936
Alagoas;DOIS RIACHOS;Estadual;90;464
Alagoas;DOIS RIACHOS;Municipal;2.398;472
Alagoas;ESTRELA DE ALAGOAS;Total;2.491;1.517
Alagoas;ESTRELA DE ALAGOAS;Estadual;95;310
Alagoas;ESTRELA DE ALAGOAS;Municipal;2.396;1.207
Alagoas;FEIRA GRANDE;Total;3.205;2.170
Alagoas;FEIRA GRANDE;Estadual;478;344
Alagoas;FEIRA GRANDE;Municipal;2.727;1.826
Alagoas;FELIZ DESERTO;Total;700;450
Alagoas;FELIZ DESERTO;Estadual;0;67
Alagoas;FELIZ DESERTO;Municipal;700;383
Alagoas;FLEXEIRAS;Total;2.221;1.154
Alagoas;FLEXEIRAS;Municipal;2.221;1.154
Alagoas;GIRAU DO PONCIANO;Total;5.767;4.195
Alagoas;GIRAU DO PONCIANO;Estadual;273;1.424
Alagoas;GIRAU DO PONCIANO;Municipal;5.421;2.687
Alagoas;GIRAU DO PONCIANO;Privada;73;84
Alagoas;IBATEGUARA;Total;2.233;1.093
