Date;InvoiceNo;CustomerNo;SalesPerson;ProductNo;UnitPrice;Quantity;Amount
09/07/2003;20000;10220;8;8;9,20;41;377,20
21/08/2003;20001;10491;4;48;14,00;30;420,00
27/08/2003;20002;10704;3;43;15,00;25;375,00
28/05/2003;20003;10430;5;54;24,00;22;528,00
06/12/2003;20004;10841;17;11;15,00;21;315,00
24/05/2003;20005;10777;1;5;12,50;50;625,00
07/10/2003;20006;10653;19;58;24,00;2;48,00
24/08/2003;20007;10413;12;61;31,00;51;1581,00
06/07/2003;20008;10654;12;4;34,80;21;730,80
14/07/2003;20009;10300;1;10;49,30;5;246,50
14/01/2003;20010;10439;19;38;7,45;28;208,60
14/01/2003;20010;10439;99;38;7,45;28;208,60
29/08/2003;20012;10919;11;31;21,05;28;589,40
05/03/2003;20013;10600;8;27;19,00;4;76,00
06/07/2003;20014;10511;19;22;21,05;36;757,80
19/03/2003;20015;10353;17;45;12,50;29;362,50
05/08/2003;20016;10792;21;4;34,80;23;800,40
06/09/2003;20017;10516;7;38;7,45;15;111,75
11/06/2003;20018;10411;11;65;55,00;23;1265,00
14/01/2003;20019;10963;4;16;19,00;19;361,00
23/11/2003;20020;10283;26;41;9,20;9;82,80
27/12/2003;20021;10329;9;19;30,00;48;1440,00
29/11/2003;20022;10355;15;12;46,00;12;552,00
17/01/2003;20024;10459;24;61;31,00;42;1302,00
01/10/2003;20025;10156;22;10;49,30;51;2514,30
24/07/2003;20026;10059;11;60;263,50;15;3952,50
21/12/2003;20027;10805;9;21;12,50;23;287,50
21/05/2003;20028;10894;8;9;25,89;30;776,70
17/02/2003;20029;10586;3;44;53,00;13;689,00
15/02/2003;20030;10820;26;37;13,25;11;145,75
23/11/2003;20031;10625;19;30;36,00;46;1656,00
01/07/2003;20032;10374;16;28;18,00;43;774,00
21/04/2003;20033;10571;19;26;123,79;42;5199,18
29/08/2003;20034;10840;10;77;9,65;38;366,70
21/05/2003;20035;10891;18;51;14,00;42;588,00
07/09/2003;20036;10851;19;28;18,00;36;648,00
02/12/2003;20037;10569;15;13;19,00;35;665,00
07/05/2003;20038;10807;11;13;19,00;49;931,00
20/03/2003;20039;10349;11;31;21,05;44;926,20
25/02/2003;20040;10644;15;55;9,00;35;315,00
02/07/2003;20041;10935;7;53;6,00;35;210,00
23/02/2003;20042;10724;3;16;19,00;26;494,00
10/08/2003;20043;10808;13;56;30,00;48;1440,00
25/04/2003;20044;10894;26;48;14,00;31;434,00
21/05/2003;20045;10558;12;39;10,00;29;290,00
04/04/2003;20046;10983;11;27;19,00;8;152,00
30/10/2003;20047;10898;2;61;31,00;24;744,00
26/03/2003;20048;10268;1;16;19,00;46;874,00
08/01/2003;20049;10754;10;48;14,00;20;280,00
16/01/2003;20050;10698;21;47;7,00;38;266,00
28/07/2003;20051;10094;12;25;36,00;40;1440,00
12/07/2003;20052;10906;9;68;12,50;51;637,50
12/10/2003;20053;10407;9;8;9,20;12;110,40
31/10/2003;20054;10280;14;72;7,75;8;62,00
11/06/2003;20055;10975;21;26;123,79;3;371,37
06/06/2003;20056;10634;24;7;15,50;1;15,50
25/09/2003;20057;10359;15;70;19,00;51;969,00
18/11/2003;20058;10265;21;36;17,45;34;593,30
09/10/2003;20059;10743;7;18;21,05;11;231,55
03/07/2003;20060;10409;5;21;12,50;37;462,50
18/11/2003;20061;10051;14;6;15,50;33;511,50
19/06/2003;20062;10395;12;10;49,30;30;1479,00
02/01/2003;20063;10987;2;76;9,50;10;95,00
19/10/2003;20064;10024;20;1;14,00;42;588,00
14/11/2003;20065;10412;3;8;9,20;24;220,80
17/03/2003;20066;10943;21;39;10,00;50;500,00
24/12/2003;20067;10701;3;54;24,00;27;648,00
31/12/2003;20068;10064;14;43;15,00;15;225,00
15/11/2003;20069;10002;10;46;15,50;43;666,50
26/08/2003;20070;10292;17;67;9,50;45;427,50
23/07/2003;20071;10545;21;30;36,00;5;180,00
19/10/2003;20072;10106;21;38;7,45;7;52,15
21/02/2003;20073;10401;12;10;49,30;2;98,60
02/03/2003;20074;10765;18;40;32,80;24;787,20
29/09/2003;20075;10366;2;71;53,00;4;212,00
22/12/2003;20076;10175;17;52;24,00;16;384,00
29/08/2003;20077;10851;19;33;18,00;21;378,00
26/08/2003;20078;10700;23;28;18,00;38;684,00
24/12/2003;20079;10960;10;31;21,05;13;273,65
10/08/2003;20080;10443;20;35;38,00;2;76,00
01/07/2003;20081;10144;3;56;30,00;40;1200,00
08/12/2003;20082;10781;18;59;55,00;18;990,00
28/03/2003;20083;10090;17;42;7,00;28;196,00
31/10/2003;20084;10186;8;12;46,00;3;138,00
27/07/2003;20085;10765;18;32;12,00;4;48,00
27/12/2003;20086;10614;18;46;15,50;30;465,00
04/12/2003;20087;10749;19;45;12,50;40;500,00
06/10/2003;20088;10986;7;55;9,00;29;261,00
20/10/2003;20089;10284;19;74;24,00;8;192,00
13/05/2003;20090;10556;6;43;15,00;44;660,00
03/05/2003;20091;10679;12;14;263,50;34;8959,00
12/08/2003;20092;10182;14;54;24,00;48;1152,00
01/01/2003;20093;10992;20;76;9,50;3;28,50
15/12/2003;20094;10793;20;62;18,00;9;162,00
29/01/2003;20095;10132;26;56;30,00;5;150,00
06/09/2003;20096;10576;6;36;17,45;9;157,05
14/02/2003;20097;10796;23;55;9,00;17;153,00
17/12/2003;20098;10669;2;56;30,00;44;1320,00
22/03/2003;20099;10891;10;67;9,50;30;285,00
17/10/2003;20100;10387;23;49;21,05;3;63,15
12/09/2003;20101;10356;16;47;7,00;35;245,00
02/10/2003;20102;10264;19;1;14,00;46;644,00
16/03/2003;20103;10531;3;21;12,50;11;137,50
10/11/2003;20104;10448;14;62;18,00;7;126,00
06/08/2003;20105;10480;13;18;21,05;46;968,30
07/12/2003;20106;10219;2;5;12,50;6;75,00
30/06/2003;20107;10937;10;48;14,00;21;294,00
21/07/2003;20108;10667;6;35;38,00;27;1026,00
06/11/2003;20109;10760;13;30;36,00;47;1692,00
10/11/2003;20110;10818;9;38;7,45;31;230,95
03/12/2003;20111;10070;4;70;19,00;21;399,00
05/12/2003;20112;10724;13;17;12,75;10;127,50
07/12/2003;20113;10466;6;43;15,00;15;225,00
18/03/2003;20114;10315;18;74;24,00;46;1104,00
24/01/2003;20115;10982;20;71;53,00;34;1802,00
07/01/2003;20116;10029;21;20;14,00;13;182,00
23/02/2003;20117;10685;18;36;17,45;38;663,10
16/07/2003;20118;10512;5;21;12,50;38;475,00
10/12/2003;20119;10080;21;1;14,00;34;476,00
27/06/2003;20120;10919;6;5;12,50;45;562,50
01/06/2003;20121;10712;3;5;12,50;10;125,00
31/08/2003;20122;10586;7;57;19,00;30;570,00
15/06/2003;20123;10643;23;11;15,00;46;690,00
23/07/2003;20124;10119;8;24;23,25;9;209,25
10/07/2003;20125;10690;3;45;12,50;38;475,00
10/03/2003;20126;10169;3;52;24,00;6;144,00
25/05/2003;20127;10590;5;11;15,00;8;120,00
05/04/2003;20128;10438;8;10;49,30;13;640,90
11/02/2003;20129;10503;26;74;24,00;9;216,00
27/07/2003;20130;10675;18;23;32,00;2;64,00
21/02/2003;20131;10492;15;15;123,79;3;371,37
22/10/2003;20132;10725;20;39;10,00;45;450,00
08/07/2003;20133;10912;17;40;32,80;28;918,40
15/01/2003;20134;10878;18;59;55,00;12;660,00
09/10/2003;20135;10838;22;47;7,00;38;266,00
30/06/2003;20136;10075;4;4;34,80;7;243,60
10/06/2003;20137;10952;4;61;31,00;5;155,00
02/09/2003;20138;10741;24;41;9,20;4;36,80
21/01/2003;20139;10552;13;67;9,50;2;19,00
12/12/2003;20140;10276;16;68;12,50;11;137,50
01/05/2003;20141;10567;24;53;6,00;20;120,00
14/10/2003;20142;10492;22;68;12,50;46;575,00
01/02/2003;20143;10760;21;67;9,50;26;247,00
06/03/2003;20144;10517;15;68;12,50;40;500,00
22/11/2003;20145;10503;13;70;19,00;34;646,00
29/06/2003;20146;10957;11;65;55,00;4;220,00
30/01/2003;20147;10800;21;35;38,00;11;418,00
11/01/2003;20148;10340;20;9;25,89;24;621,36
16/12/2003;20149;10448;15;42;7,00;29;203,00
21/08/2003;20150;10131;6;11;15,00;38;570,00
18/11/2003;20151;10497;16;10;49,30;13;640,90
22/12/2003;20152;10841;8;43;15,00;21;315,00
25/02/2003;20153;10424;12;1;14,00;48;672,00
06/10/2003;20154;10014;16;50;10,00;24;240,00
22/07/2003;20155;10667;18;13;19,00;46;874,00
15/12/2003;20156;10127;9;2;43,90;14;614,60
18/06/2003;20157;10426;20;11;15,00;1;15,00
01/06/2003;20158;10681;16;69;9,50;29;275,50
30/07/2003;20159;10894;2;60;263,50;47;12384,50
28/11/2003;20160;10014;12;31;21,05;25;526,25
18/10/2003;20161;10314;4;48;14,00;40;560,00
09/09/2003;20162;10617;12;69;9,50;7;66,50
10/07/2003;20163;10536;19;54;24,00;47;1128,00
12/11/2003;20164;10986;2;6;15,50;37;573,50
18/02/2003;20165;10952;19;46;15,50;33;511,50
08/07/2003;20166;10292;20;22;21,05;49;1031,45
18/07/2003;20167;10998;16;70;19,00;13;247,00
05/10/2003;20168;10394;1;49;21,05;26;547,30
27/11/2003;20169;10600;4;44;53,00;19;1007,00
30/06/2003;20170;10988;25;42;7,00;51;357,00
16/06/2003;20171;10243;11;52;24,00;48;1152,00
26/01/2003;20172;10909;20;66;14,00;11;154,00
26/08/2003;20173;10553;11;46;15,50;3;46,50
11/02/2003;20174;10880;17;55;9,00;42;378,00
12/09/2003;20175;10560;26;62;18,00;5;90,00
05/08/2003;20176;10229;11;67;9,50;14;133,00
22/11/2003;20177;10035;18;43;15,00;36;540,00
13/02/2003;20178;10363;16;5;12,50;27;337,50
29/04/2003;20179;10577;21;14;263,50;9;2371,50
10/01/2003;20180;10027;2;48;14,00;33;462,00
14/04/2003;20181;10335;18;72;7,75;41;317,75
06/11/2003;20182;10628;23;26;123,79;39;4827,81
13/02/2003;20183;10532;17;38;7,45;3;22,35
24/04/2003;20184;10158;22;45;12,50;26;325,00
30/12/2003;20185;10202;14;45;12,50;10;125,00
05/08/2003;20186;10494;24;73;49,30;8;394,40
07/07/2003;20187;10782;21;21;12,50;38;475,00
01/12/2003;20188;10111;15;57;19,00;9;171,00
14/05/2003;20189;10482;2;74;24,00;8;192,00
23/11/2003;20190;10484;12;47;7,00;36;252,00
25/02/2003;20191;10573;5;12;46,00;47;2162,00
20/07/2003;20192;10712;2;54;24,00;16;384,00
13/10/2003;20193;10012;4;36;17,45;48;837,60
25/12/2003;20194;10151;25;14;263,50;42;11067,00
18/02/2003;20195;10054;22;32;12,00;13;156,00
02/11/2003;20196;10075;16;18;21,05;24;505,20
27/10/2003;20197;10757;5;8;9,20;17;156,40
12/09/2003;20198;10660;3;55;9,00;15;135,00
19/04/2003;20199;10542;22;54;24,00;11;264,00
10/08/2003;20200;10810;16;74;24,00;35;840,00
24/08/2003;20201;10204;7;29;43,90;26;1141,40
05/04/2003;20202;10616;20;61;31,00;30;930,00
25/09/2003;20203;10040;7;6;15,50;11;170,50
29/10/2003;20204;10472;16;22;21,05;24;505,20
23/08/2003;20205;10999;4;30;36,00;11;396,00
31/01/2003;20206;10137;21;8;9,20;24;220,80
13/07/2003;20207;10001;6;20;14,00;32;448,00
23/07/2003;20208;10264;11;44;53,00;2;106,00
24/04/2003;20209;10844;16;23;32,00;10;320,00
28/09/2003;20210;10189;23;24;23,25;45;1046,25
27/10/2003;20211;10344;21;12;46,00;31;1426,00
24/02/2003;20212;10995;16;52;24,00;35;840,00
28/05/2003;20213;10628;7;69;9,50;38;361,00
02/09/2003;20214;10158;10;3;43,90;48;2107,20
01/09/2003;20215;10718;13;48;14,00;30;420,00
26/11/2003;20216;10276;9;44;53,00;31;1643,00
30/04/2003;20217;10827;5;42;7,00;34;238,00
16/01/2003;20218;10684;23;22;21,05;15;315,75
13/05/2003;20219;10020;9;37;13,25;22;291,50
09/11/2003;20220;10979;24;27;19,00;39;741,00
10/06/2003;20221;10139;8;23;32,00;22;704,00
20/07/2003;20222;10734;20;76;9,50;34;323,00
24/08/2003;20223;10160;3;62;18,00;34;612,00
09/04/2003;20224;10937;15;32;12,00;5;60,00
30/07/2003;20225;10377;18;22;21,05;22;463,10
02/07/2003;20226;10933;23;61;31,00;40;1240,00
04/09/2003;20227;10077;25;30;36,00;3;108,00
22/03/2003;20228;10899;10;70;19,00;1;19,00
12/12/2003;20229;10608;6;27;19,00;42;798,00
21/03/2003;20230;10141;21;16;19,00;19;361,00
26/06/2003;20231;10001;5;42;7,00;11;77,00
20/02/2003;20232;10731;8;35;38,00;4;152,00
10/06/2003;20233;10545;9;74;24,00;15;360,00
19/04/2003;20234;10281;1;69;9,50;23;218,50
29/11/2003;20235;10976;25;9;25,89;41;1061,49
14/02/2003;20236;10871;25;5;12,50;45;562,50
04/07/2003;20237;10187;12;27;19,00;9;171,00
09/08/2003;20238;10420;15;19;30,00;3;90,00
25/04/2003;20239;10616;26;57;19,00;37;703,00
14/06/2003;20240;10031;26;31;21,05;23;484,15
12/05/2003;20241;10710;2;69;9,50;45;427,50
01/08/2003;20242;10091;23;16;19,00;43;817,00
08/10/2003;20243;10131;22;29;43,90;28;1229,20
12/09/2003;20244;10151;10;15;123,79;24;2970,96
08/09/2003;20245;10607;15;56;30,00;33;990,00
16/10/2003;20246;10878;22;29;43,90;23;1009,70
14/02/2003;20247;10584;17;3;43,90;21;921,90
26/02/2003;20248;10601;3;70;19,00;6;114,00
12/05/2003;20249;10080;4;54;24,00;11;264,00
03/08/2003;20250;10239;4;26;123,79;28;3466,12
17/02/2003;20251;10411;7;65;55,00;50;2750,00
11/07/2003;20252;10636;9;60;263,50;49;12911,50
12/07/2003;20253;10678;19;35;38,00;6;228,00
20/02/2003;20254;10588;19;13;19,00;32;608,00
08/06/2003;20255;10186;10;20;14,00;37;518,00
09/08/2003;20256;10096;10;75;13,25;14;185,50
17/12/2003;20257;10191;18;66;14,00;3;42,00
14/09/2003;20258;10619;23;30;36,00;34;1224,00
18/03/2003;20259;10636;5;49;21,05;19;399,95
03/04/2003;20260;10364;8;77;9,65;14;135,10
16/10/2003;20261;10786;4;46;15,50;24;372,00
08/06/2003;20262;10889;3;73;49,30;18;887,40
18/08/2003;20263;10907;2;72;7,75;38;294,50
15/11/2003;20264;10562;13;38;7,45;3;22,35
16/01/2003;20265;10405;4;10;49,30;27;1331,10
01/11/2003;20266;10640;11;42;7,00;15;105,00
01/09/2003;20267;10080;15;63;38,00;42;1596,00
11/12/2003;20268;10012;21;9;25,89;19;491,91
20/10/2003;20269;10397;16;59;55,00;9;495,00
19/10/2003;20270;10884;2;21;12,50;34;425,00
25/10/2003;20271;10936;22;62;18,00;44;792,00
06/07/2003;20272;10934;15;60;263,50;48;12648,00
07/10/2003;20273;10416;20;10;49,30;31;1528,30
08/11/2003;20274;10726;8;33;18,00;3;54,00
16/09/2003;20275;10970;24;70;19,00;51;969,00
01/11/2003;20276;10401;5;6;15,50;46;713,00
03/01/2003;20277;10555;25;55;9,00;41;369,00
25/08/2003;20278;10943;12;41;9,20;22;202,40
13/12/2003;20279;10662;17;23;32,00;3;96,00
21/06/2003;20280;10540;15;1;14,00;21;294,00
31/07/2003;20281;10743;6;63;38,00;29;1102,00
06/03/2003;20282;10816;8;56;30,00;31;930,00
11/05/2003;20283;10987;16;30;36,00;24;864,00
28/05/2003;20284;10988;16;72;7,75;35;271,25
26/02/2003;20285;10380;17;54;24,00;26;624,00
24/10/2003;20286;10202;13;26;123,79;36;4456,44
