Sexo;Estado Civil;Anos de estudo;Formação;Tempo de empresa;Unidade;Departamento;Cargo;Salário;Bônus
Masculino;Casado;14;Sócio-econômicas;19;Curitiba;Produção;Assistente;16,67;28,02
Masculino;Viúvo;19;Sócio-econômicas;31;São Paulo;Vendas;Assistente;29,13;41,24
Feminino;Casado;18;Sócio-econômicas;28;Rio de Janeiro;Financeiro;Assi ;21,8;16,88
Feminino;Casado;16;Sócio-econômicas;20;Rio de Janeiro;Vendas;Assistente;22,61;13,5
Masculino;Solteiro;15;Sócio-econômicas;15;Curitiba;Vendas;Auxiliar;16,67;8,44
Masculino;Casado;18;Sócio-econômicas;23;São Paulo;Pessoal;Assistente;8,34;86,88
Masculino;Casado;18;Exatas;27;Curitiba;Vendas;Auxiliar;11,15;8,8
Masculino;Divorciado;12;Sócio-econômicas;20;Rio de Janeiro;Produção;Assistente;4,28;5,14
Masculino;Viúvo;14;Sócio-econômicas;11;Rio de Janeiro;Vendas;Auxiliar;3,39;18,34
Feminino;Casado;12;Humanas;16;Rio de Janeiro;Produção;Assistente;5,78;16,68
Feminino;Solteiro;13;Humanas;20;Florianópolis;Produção;Auxiliar;1,08;11,72
Masculino;Casado;18;Sócio-econômicas;17;Rio de Janeiro;Vendas;Gerente;12,45;34
Feminino;Casado;13;Exatas;23;Rio de Janeiro;Pessoal;Assistente;5,19;16,48
Feminino;Solteiro;8;Exatas;0;Florianópolis;Produção;Auxiliar;1,02;2,3
Masculino;Casado;16;Sócio-econômicas;10;Curitiba;Vendas;Assistente;16,67;32,02
Masculino;Casado;14;Humanas;23;Rio de Janeiro;Pessoal;Assistente;5,7;36,44
Feminino;Casado;18;Sócio-econômicas;9;Curitiba;Produção;Assistente;16,84;13,5
Masculino;Viúvo;19;Exatas;14;Curitiba;Produção;Assistente;11,28;28,02
Feminino;Solteiro;9;Humanas;0;Rio de Janeiro;Produção;Auxiliar;1,58;3,48
Masculino;Casado;16;Sócio-econômicas;25;Florianópolis;Financeiro;Assistente;15,37;17,5
Feminino;Casado;12;Exatas;15;São Paulo; ;Assistente;1,71;11,86
Feminino;Casado;11;Humanas;12;Curitiba;Financeiro;Auxiliar;3,65;18,34
Feminino;Solteiro;14;Sócio-econômicas;4;São Paulo;Vendas;Auxiliar;10,54;6,48
Masculino;Viúvo;16;Humanas;7;Florianópolis;Vendas;Assistente;7,75;10,24
Masculino;Casado;18;Sócio-econômicas;27;Rio de Janeiro;Vendas;Gerente;34,3;69,14
Masculino;Casado;16;Biológicas;1;Curitiba;Vendas;Assistente;8,44;6,38
Feminino;Casado;20;Exatas;10;Rio de Janeiro;Vend ;Assistente;9,5;23,84
Feminino;Divorciado;13;Biológicas;20;Curitiba;Pessoal;Auxiliar;4,4;2,96
Masculino;Casado;15;Biológicas;18;Rio de Janeiro;Financeiro;Assistente;9,61;31,7
Masculino;Casado;20;Sócio-econômicas;30;Curitiba;Vendas;Assistente;9,5;28,3
Masculino;Casado;19;Humanas;34;Rio de Janeiro;Vendas;Gerente;54,39;44,82
Feminino;Casado;15;Sócio-econômicas;18;Curitiba;Financeiro;Assistente;10,78;58,26
Masculino;Solteiro;14;Sócio-econômicas;23;Rio de Janeiro;Pessoal;Assistente;9,61;20,84
Feminino;Casado;15;Sócio-econômicas;7;Curitiba;Financeiro;Assistente;7,38;7,84
Feminino;Casado;17;Sócio-econômicas;30;Rio de Janeiro;Vendas;Assistente;14,01;27,42
Feminino;Casado;8;Exatas;0;Florianópolis;Produção;Auxiliar;1,27;2,72
Feminino;Solteiro;8;Exatas;14;Florianópolis;Produção;Auxiliar;1,22;2,36
Feminino;Casado;17;Sócio-econômicas;20;Rio de Janeiro;Vendas;Assistente;23,87;49,04
Masculino;Viúvo;9;Biológicas;0;São Paulo;Produção;Auxiliar;1,39;2,46
Masculino;Casado;17;Sócio-econômicas;27;São Paulo;Produção;Assistente;15,22;22,3
Masculino;Casado;18;Sócio-econômicas;12;Rio de Janeiro;Vendas;Assistente;22,61;28,9
Feminino;Casado;13;Humanas;11;Rio de Janeiro;Produção;Auxiliar;6,58;11,86
Masculino;Casado;12;Exatas;2;Florianópolis;Financeiro;Auxiliar;1,57;2,3
Masculino;Divorciado;9;Exatas;0;Florianópolis;Produção;Auxiliar;1,58;2,68
Masculino;Solteiro;15;Exatas;27;Rio de Janeiro;Financeiro;Assistente;10,42;22,82
Masculino;Viúvo;13;Exatas;3;São Paulo;Produção;Auxiliar;2,42;8,44
Masculino;Viúvo;21;Sócio-econômicas;25;Rio de Janeiro;Vendas;Gerente;48,38;71,36
Masculino;Casado;14;Exatas;12;Curitiba;Pessoal;Assistente;9,39;11,4
