Invoice_Num	Date	Purchaser	Vendor_Code	Amount
2	2004-01-01	Vijay	OJQ26	85351.87
27	2004-01-01	Vijay	GYD00	4089.06
32	2004-01-01	Adam	JCY21	66005.48
65	2004-01-01	Adam	PAY03	94238.55
109	2004-01-01	Adam	AXN63	65549.36
122	2004-01-01	Adam	VHP21	32103.1
135	2004-01-01	Vijay	GRQ85	12335.36
144	2004-01-01	Suzie	XAY74	78360.21
151	2004-01-01	Vijay	VHZ41	94595.65
159	2004-01-01	Vijay	HQC20	2201.18
160	2004-01-01	Vijay	OVA58	51679.99
178	2004-01-01	Vijay	BAY81	65588.6
181	2004-01-01	Adam	ZTG40	16035.94
186	2004-01-01	Vijay	LZC89	65027.51
210	2004-01-01	Adam	VYI88	84832.49
221	2004-01-01	Vijay	GRQ85	75724.49
239	2004-01-01	Vijay	UGX77	70055.73
274	2004-01-01	Vijay	ZZH09	67570.48
281	2004-01-01	Adam	ZCK31	10822.19
292	2004-01-01	Adam	MLJ73	74230.58
313	2004-01-01	Adam	RDO14	50310.35
318	2004-01-01	Adam	JCY21	5118.38
318	2004-01-01	Suzie	DAZ63	50247.48
327	2004-01-01	Vijay	QSG52	26965.35
333	2004-01-01	Vijay	IOV67	3069.37
334	2004-01-01	Vijay	POR77	86234.99
353	2004-01-01	Adam	KUX44	35049.64
355	2004-01-01	Vijay	HPY94	56517.74
366	2004-01-01	Suzie	WUL55	67893.09
370	2004-01-01	Suzie	KQD58	62151.38
381	2004-01-01	Suzie	FEK12	65871.59
400	2004-01-01	Vijay	EFY10	78444.7
422	2004-01-01	Adam	YBZ57	9119.5
434	2004-01-01	Vijay	BNZ96	22717.56
454	2004-01-01	Vijay	RGX13	24367.54
478	2004-01-01	Vijay	VUG70	57102.86
496	2004-01-01	Vijay	BUU03	58367.72
557	2004-01-01	Vijay	YOS74	40013.77
578	2004-01-01	Adam	JAH56	22473.62
586	2004-01-01	Adam	CZI39	50218.63
601	2004-01-01	Vijay	WNW70	5964.46
647	2004-01-01	Adam	SOI83	20658.96
