#
# Dados extraidos do livro Análise Financeira de Balanços
# Dante C. Matarazzo - Pág. 239 Tabela A.5
#
# Indices de liquidez corrente de empresas solventes e insolventes
#
ilc  situacao
1.86 solvente
1.89 solvente
1.93 solvente
1.94 solvente
1.97 solvente
2.85 solvente
2.02 solvente
2.10 solvente
3.02 solvente
1.43 solvente
1.46 solvente
1.49 solvente
1.53 solvente
1.55 solvente
1.56 solvente
1.58 solvente
1.61 solvente
1.64 solvente
1.70 solvente
1.79 solvente
1.20 solvente
1.21 solvente
1.25 solvente
1.27 solvente
1.28 solvente
1.30 solvente
1.31 solvente
1.34 solvente
1.36 solvente
1.37 solvente
1.39 solvente
1.40 solvente
1.02 solvente
1.05 solvente
1.06 solvente
1.08 solvente
1.09 solvente
1.12 solvente
1.14 solvente
1.17 solvente
1.18 solvente
1.00 solvente
0.99 solvente
0.98 solvente
0.93 solvente
0.89 solvente
0.84 solvente
0.79 solvente
0.73 solvente
0.65 solvente
1.21 insolvente
1.23 insolvente
1.27 insolvente
1.29 insolvente
1.33 insolvente
1.36 insolvente
1.40 insolvente
1.51 insolvente
1.57 insolvente
1.66 insolvente
1.72 insolvente
1.84 insolvente
1.89 insolvente
1.03 insolvente
1.04 insolvente
1.06 insolvente
1.08 insolvente
1.09 insolvente
1.10 insolvente
1.10 insolvente
1.11 insolvente
1.12 insolvente
1.12 insolvente
1.15 insolvente
1.16 insolvente
1.16 insolvente
1.05 insolvente
1.07 insolvente
1.00 insolvente
0.97 insolvente
0.90 insolvente
0.90 insolvente
0.89 insolvente
0.87 insolvente
0.86 insolvente
0.84 insolvente
0.83 insolvente
0.80 insolvente
0.79 insolvente
0.75 insolvente
0.69 insolvente
0.67 insolvente
0.64 insolvente
0.59 insolvente
0.57 insolvente
0.54 insolvente
0.49 insolvente
0.48 insolvente
0.32 insolvente
