ProviderID,ProviderType,ProviderSpecialty,Location
"10010210084","amb srg center","misc physician","367"
"10010410197","amb srg center","misc physician","410"
"10010610221","amb srg center","misc physician","104"
"10010710275","anesthesiologist","anesthesia","104"
"10010810371","anesthesiologist","anesthesia","367"
"10010910429","anesthesiologist","anesthesia","410"
"10011010449","anesthesiologist","anesthesia","410"
"10011110452","anesthesiologist","anesthesia","410"
"10011210467","anesthesiologist","anesthesia","367"
"10011310519","anesthesiologist","anesthesia","410"
"10011410627","anesthesiologist","anesthesia","104"
"10011610682","anesthesiologist","anesthesia","410"
"10011810781","anesthesiologist","anesthesia","367"
"10011910901","anesthesiologist","anesthesia","367"
"10012110993","anesthesiologist","anesthesia","410"
"10012311107","anesthesiologist","anesthesia","104"
"10012511199","anesthesiologist","anesthesia","410"
"10012611269","day health","clinic","410"
"10012811329","day health","clinic","367"
"10013011335","day health","clinic","410"
"10013111430","day health","clinic","410"
"10013311562","dme suppliers","med supply","104"
"10013511628","dme suppliers","med supply","393"
"10013611711","dme suppliers","med supply","737"
"10013811720","dme suppliers","med supply","367"
"10014011786","dme suppliers","med supply","367"
"10014211798","dme suppliers","med supply","410"
"10014311817","dme suppliers","med supply","104"
"10014511868","dme suppliers","med supply","367"
"10014711903","dme suppliers","med supply","744"
"10014912023","dme suppliers","med supply","104"
"10015012088","dme suppliers","med supply","104"
"10015112205","dme suppliers","med supply","104"
"10015312286","dme suppliers","med supply","111"
"10015512413","dme suppliers","med supply","410"
"10015612542","dme suppliers","med supply","104"
"10015812592","dme suppliers","med supply","104"
"10016012654","dme suppliers","med supply","104"
"10016112721","dme suppliers","med supply","367"
"10016212844","dme suppliers","med supply","104"
"10016312874","dme suppliers","med supply","104"
"10016412925","dme suppliers","med supply","367"
"10016612961","dme suppliers","med supply","367"
"10016713007","dme suppliers","med supply","744"
"10016813050","dme suppliers","med supply","432"
"10016913124","dme suppliers","med supply","104"
"10017113132","dme suppliers","med supply","104"
"10017313209","dme suppliers","med supply","104"
"10017413332","emerg phys","gen pract","367"
"10017513383","emerg phys","gen pract","367"
"10017613409","emerg phys","gen pract","104"
